t,x_cin,v_cin,x_pot,v_pot,E_cin_total,E_pot_total
0.0456,2.6352,-8,2.6352,-8,32,32
0.0457,2.6344,-8,2.6344,-8,32,32
0.0458,2.6336,-8,2.6336,-8,32,32
0.0459,2.6328,-8,2.6328,-8,32,32
0.046,2.632,-8,2.632,-8,32,32
0.0461,2.6312,-8,2.6312,-8,32,32
0.0462,2.6304,-8,2.6304,-8,32,32
0.0463,2.6296,-8,2.6296,-8,32,32
0.0464,2.6288,-8,2.6288,-8,32,32
0.0465,2.628,-8,2.628,-8,32,32
0.0466,2.6272,-8,2.6272,-8,32,32
0.0467,2.6264,-8,2.6264,-8,32,32
0.0468,2.6256,-8,2.6256,-8,32,32
0.0469,2.6248,-8,2.6248,-8,32,32
0.047,2.624,-8,2.624,-8,32,32
0.0471,2.6232,-8,2.6232,-8,32,32
0.0472,2.6224,-8,2.6224,-8,32,32
0.0473,2.6216,-8,2.6216,-8,32,32
0.0474,2.6208,-8,2.6208,-8,32,32
0.0475,2.62,-8,2.62,-8,32,32
0.0476,2.6192,-8,2.6192,-8,32,32
0.0477,2.6184,-8,2.6184,-8,32,32
0.0478,2.6176,-8,2.6176,-8,32,32
0.0479,2.6168,-8,2.6168,-8,32,32
0.048,2.616,-8,2.616,-8,32,32
0.0481,2.6152,-8,2.6152,-8,32,32
0.0482,2.6144,-8,2.6144,-8,32,32
0.0483,2.6136,-8,2.6136,-8,32,32
0.0484,2.6128,-8,2.6128,-8,32,32
0.0485,2.612,-8,2.612,-8,32,32
0.0486,2.6112,-8,2.6112,-8,32,32
0.0487,2.6104,-8,2.6104,-8,32,32
0.0488,2.6096,-8,2.6096,-8,32,32
0.0489,2.6088,-8,2.6088,-8,32,32
0.049,2.608,-8,2.608,-8,32,32
0.0491,2.6072,-8,2.6072,-8,32,32
0.0492,2.6064,-8,2.6064,-8,32,32
0.0493,2.6056,-8,2.6056,-8,32,32
0.0494,2.6048,-8,2.6048,-8,32,32
0.0495,2.604,-8,2.604,-8,32,32
0.0496,2.6032,-8,2.6032,-8,32,32
0.0497,2.6024,-8,2.6024,-8,32,32
0.0498,2.6016,-8,2.6016,-8,32,32
0.0499,2.6008,-8,2.6008,-8,32,32
0.05,2.6,-8,2.6,-8,32,32
0.0501,2.5992,-8,2.5992,-8,32,32
0.0502,2.5984,-8,2.5984,-8,32,32
0.0503,2.5976,-8,2.5976,-8,32,32
0.0504,2.5968,-8,2.5968,-8,32,32
0.0505,2.596,-8,2.596,-8,32,32
0.0506,2.5952,-8,2.5952,-8,32,32
0.0507,2.5944,-8,2.5944,-8,32,32
0.0508,2.5936,-8,2.5936,-8,32,32
0.0509,2.5928,-8,2.5928,-8,32,32
0.051,2.592,-8,2.592,-8,32,32
0.0511,2.5912,-8,2.5912,-8,32,32
0.0512,2.5904,-8,2.5904,-8,32,32
0.0513,2.5896,-8,2.5896,-8,32,32
0.0514,2.5888,-8,2.5888,-8,32,32
0.0515,2.588,-8,2.588,-8,32,32
0.0516,2.5872,-8,2.5872,-8,32,32
0.0517,2.5864,-8,2.5864,-8,32,32
0.0518,2.5856,-8,2.5856,-8,32,32
0.0519,2.5848,-8,2.5848,-8,32,32
0.052,2.584,-8,2.584,-8,32,32
0.0521,2.5832,-8,2.5832,-8,32,32
0.0522,2.5824,-8,2.5824,-8,32,32
0.0523,2.5816,-8,2.5816,-8,32,32
0.0524,2.5808,-8,2.5808,-8,32,32
0.0525,2.58,-8,2.58,-8,32,32
0.0526,2.5792,-8,2.5792,-8,32,32
0.0527,2.5784,-8,2.5784,-8,32,32
0.0528,2.5776,-8,2.5776,-8,32,32
0.0529,2.5768,-8,2.5768,-8,32,32
0.053,2.576,-8,2.576,-8,32,32
0.0531,2.5752,-8,2.5752,-8,32,32
0.0532,2.5744,-8,2.5744,-8,32,32
0.0533,2.5736,-8,2.5736,-8,32,32
0.0534,2.5728,-8,2.5728,-8,32,32
0.0535,2.572,-8,2.572,-8,32,32
0.0536,2.5712,-8,2.5712,-8,32,32
0.0537,2.5704,-8,2.5704,-8,32,32
0.0538,2.5696,-8,2.5696,-8,32,32
0.0539,2.5688,-8,2.5688,-8,32,32
0.054,2.568,-8,2.568,-8,32,32
0.0541,2.5672,-8,2.5672,-8,32,32
0.0542,2.5664,-8,2.5664,-8,32,32
0.0543,2.5656,-8,2.5656,-8,32,32
0.0544,2.5648,-8,2.5648,-8,32,32
0.0545,2.564,-8,2.564,-8,32,32
0.0546,2.5632,-8,2.5632,-8,32,32
0.0547,2.5624,-8,2.5624,-8,32,32
0.0548,2.5616,-8,2.5616,-8,32,32
0.0549,2.5608,-8,2.5608,-8,32,32
0.055,2.56,-8,2.56,-8,32,32
0.0551,2.5592,-8,2.5592,-8,32,32
0.0552,2.5584,-8,2.5584,-8,32,32
0.0553,2.5576,-8,2.5576,-8,32,32
0.0554,2.5568,-8,2.5568,-8,32,32
0.0555,2.556,-8,2.556,-8,32,32
0.0556,2.5552,-8,2.5552,-8,32,32
0.0557,2.5544,-8,2.5544,-8,32,32
0.0558,2.5536,-8,2.5536,-8,32,32
0.0559,2.5528,-8,2.5528,-8,32,32
0.056,2.552,-8,2.552,-8,32,32
0.0561,2.5512,-8,2.5512,-8,32,32
0.0562,2.5504,-8,2.5504,-8,32,32
0.0563,2.5496,-8,2.5496,-8,32,32
